t=10,T1,T2,T3,T4,T5,T6,T7,T8,T9
3.54,95.78075869463555,77.83329855748238,103.25022610827729,42.696328561858955,38.90446279873647,-37.490350579737154,-25.479113404036976,-39.652718941368455,-14.8826546718925
3.5500000000000003,96.38027922011688,77.60879030040105,102.66755969843499,42.809609666334445,38.95383534947851,-37.514161635785165,-25.05346227073508,-39.978502889163416,-15.683857933506395
3.56,97.00651156491656,77.42317520206198,102.09430128931076,42.921607663807954,39.003289570808754,-37.5399467145601,-24.60542901795415,-40.264112978792,-16.469138203327006
3.5700000000000003,97.65904222089482,77.27699518371007,101.53145120797245,43.03234327432312,39.052825990341,-37.56780938139526,-24.135706462866132,-40.509362271597475,-17.2377131614562
3.58,98.33742668363504,77.17074561625888,100.97999813259021,43.14183904488405,39.10244521136883,-37.59785054103627,-23.645013383218327,-40.71411216719132,-17.988820420973838
3.59,99.04118993755567,77.10487466047647,100.44091789682487,43.25011932581444,39.152147912319556,-37.63016831332257,-23.13409369168266,-40.87827263129971,-18.721718464301137
3.6,99.7698273024248,77.07978311879671,99.9151723992818,43.35721022594646,39.201934845342755,-37.664857936503275,-22.60371529939052,-41.00180188079757,-19.435687372661587
3.61,100.5228046281294,77.09582336190716,99.40370832094175,43.46313960599626,39.2518068364605,-37.70201162041026,-22.05466953918733,-41.08470704944447,-20.13002993097433
3.62,101.29955928645008,77.15329943740853,98.90745612769742,43.567937025064516,39.30176478378552,-37.741718467008,-21.487769920080453,-41.12704361871863,-20.804072228100086
3.63,102.09950060714276,77.25246632890268,98.42732884888214,43.67163371990838,39.35180965709764,-37.78406434092754,-20.903851340139656,-41.128915727526156,-21.457164631784398
3.64,102.92201062660284,77.3935297219119,97.96422101055676,43.77426256567815,39.40194249664337,-37.82913177159693,-20.3037690504727,-41.090475967165936,-22.08868252680266
3.65,103.76644497570388,77.57664598906923,97.51900763135062,43.875858028423416,39.4521644115925,-37.876999868674865,-19.68839750638987,-41.0119249516075,-22.698026953420747
3.66,104.63213334730504,77.80192149388319,97.09254301031332,43.97645614252358,39.50247657953917,-37.92774419501006,-19.058629553334086,-40.89351157987231,-23.284625564179763
3.67,105.51838064701462,78.06941306685187,96.68565991714148,44.076094447377784,39.5528802442764,-37.98143671637803,-18.41537508866526,-40.735532127875636,-23.847933005080172
